impath,mos_qual,label,classname
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowcorr_210.jpg,2.546528083,2,poor
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowcorr_002.jpg,2.659178911,2,poor
/hd2/wangzichuan/AGIQA-3K/midjourney_normal_066.jpg,3.561501185,5,perfect
/hd2/wangzichuan/AGIQA-3K/sd1.5_highcorr_083.jpg,2.195092561,1,bad
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_217.jpg,3.537280489,5,perfect
/hd2/wangzichuan/AGIQA-3K/glide_normal_007.jpg,0.821435934,0,terrible
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_082.jpg,3.502054974,5,perfect
/hd2/wangzichuan/AGIQA-3K/glide_normal_095.jpg,0.641923698,0,terrible
/hd2/wangzichuan/AGIQA-3K/glide_normal_269.jpg,0.929924681,0,terrible
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_244.jpg,2.359320035,2,poor
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_226.jpg,2.825502717,3,average
/hd2/wangzichuan/AGIQA-3K/sd1.5_highcorr_173.jpg,3.143483028,4,good
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_283.jpg,2.625770283,2,poor
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_165.jpg,1.727765593,1,bad
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowcorr_127.jpg,3.501131449,5,perfect
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_222.jpg,1.3429134,1,bad
/hd2/wangzichuan/AGIQA-3K/midjourney_normal_207.jpg,4.436862351,5,perfect
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_051.jpg,2.323921604,2,poor
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowstep_214.jpg,4.04445907,5,perfect
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_076.jpg,2.869848764,3,average
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_208.jpg,3.49654282,5,perfect
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_062.jpg,3.401488261,4,good
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_230.jpg,3.344956193,4,good
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_251.jpg,3.248505469,4,good
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_227.jpg,3.214375205,4,good
/hd2/wangzichuan/AGIQA-3K/AttnGAN_normal_259.jpg,0.592546579,0,terrible
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_072.jpg,3.590592228,5,perfect
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_287.jpg,2.837204233,3,average
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowstep_296.jpg,3.357738899,4,good
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_007.jpg,3.419625599,4,good
/hd2/wangzichuan/AGIQA-3K/sd1.5_highcorr_075.jpg,0.291846246,0,terrible
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_043.jpg,3.038537814,3,average
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowstep_239.jpg,3.741408859,5,perfect
/hd2/wangzichuan/AGIQA-3K/midjourney_normal_271.jpg,3.989769364,5,perfect
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_056.jpg,3.361858495,4,good
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_017.jpg,3.835000098,5,perfect
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowstep_228.jpg,3.059933495,3,average
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_164.jpg,3.403754047,4,good
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_170.jpg,3.442225929,4,good
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowstep_127.jpg,2.989757839,3,average
