impath,mos,label,classname
/hd2/wangzichuan/AIGCIQA2023/allimg/120.png,52.50184188480195,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/283.png,54.67605796838974,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1727.png,42.62415344029216,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1984.png,66.31041587015783,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/647.png,65.89318629036286,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/1176.png,47.62479264116931,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1406.png,39.39386548593089,1,bad
/hd2/wangzichuan/AIGCIQA2023/allimg/1436.png,41.06262014896807,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1951.png,61.3454320792734,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/599.png,57.84400168648959,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/275.png,58.53300293770916,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1983.png,63.02254971727418,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/1089.png,41.14332746140341,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/360.png,50.86288148713188,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1607.png,48.92093540478389,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/2048.png,57.24443352770802,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1187.png,44.34305495030166,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/2148.png,57.65252182736912,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/457.png,44.96250937220547,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1904.png,62.94549212164054,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/741.png,50.94102563647228,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1427.png,43.3313918970544,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1813.png,61.81446922378662,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/1562.png,39.45221193547596,1,bad
/hd2/wangzichuan/AIGCIQA2023/allimg/1975.png,52.89613009891211,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/286.png,41.02328480722146,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/2188.png,44.0873006973373,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/406.png,58.69870781981875,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1611.png,55.83456291940182,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/163.png,54.65774424177223,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/695.png,44.403750336042776,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1204.png,45.38577509043832,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/423.png,58.27244736724274,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1640.png,52.221363560020144,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1446.png,28.42854931429854,0,terrible
/hd2/wangzichuan/AIGCIQA2023/allimg/1437.png,46.34498622627674,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/1278.png,54.58743278916243,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/65.png,60.9886329673785,4,good
/hd2/wangzichuan/AIGCIQA2023/allimg/2299.png,59.620086908713255,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1713.png,45.207226150913954,2,poor
/hd2/wangzichuan/AIGCIQA2023/allimg/2346.png,56.44733940939916,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1518.png,39.21293924571607,1,bad
/hd2/wangzichuan/AIGCIQA2023/allimg/230.png,53.09712482232906,3,average
/hd2/wangzichuan/AIGCIQA2023/allimg/1748.png,59.71561669743355,3,average
